,Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
497,Legume,Soja Edamame,20,5,18,0.3,4,18000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,40,12,1,soja edamame
498,Leafy Vegetable,Epinard hâtif à grandes feuilles,20,5,15,0.4,3,3600,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Belgium"",""Canada""]","[""Spring"",""Summer"",""Autumn""]",40,35,15,48,"[""NPK 10-10-10"",""Compost""]",4,18,12,0.5,"epinard hâtif à grandes feuilles
le sachet de +/- 1500 graines"
499,Vegetable,Epinard Fraise,10-18,2-5,8-15,0.2-0.4,2-4,24000-28000,40-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Germany"",""United States""]","[""Spring"",""Autumn""]",40,30,10,24-48,"[""NPK"",""Compost"",""Manure""]",2-3,12,12x12,0.5-1,epinard fraise
500,Vegetable,Epinard Butterflay,20,5,18,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate regions"",""Cool temperate regions""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,12,0.5,"epinard butterflay
le sachet de +/- 1500 graines"
501,Vegetable,Epinard géant d'hiver,15,3,10,0.3,2,18000,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""France"",""Belgium"",""Canada""]","[""Spring"",""Autumn""]",40,30,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-based fertilizer""]",2,20,12,1,"epinard géant d'hiver
le sachet de +/- 1500 graines"
502,Vegetable,Epinard Perpetuel,18,5,15,0.3,3,28800,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""France"",""Spain"",""Italy""]","[""Start of spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,20,12,0.5,epinard perpetuel
503,Leafy green vegetable,Epinard Thorin (Type Matador),10-25,2-5,10-20,0.2-0.3,3-5,6000-8000,60-80,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mild climates""]","[""Spring"",""Autumn""]",25,30,20,24-48,"[""NPK 10-10-10"",""Compost""]",4-6,12,24,0.5-1,"epinard thorin (type matador)
le sachet de +/- 1680 graines"
504,Vegetable,Courge Eponge Luffa,25,5,20,0.3,3,3600,60,"[""Loamy"",""Sandy loam""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Monsoon""]",40,40,20,48,"[""Organic compost"",""Well-rotted manure""]",2,120,36,1,"courge eponge luffa
le sachet de 12 graines"
505,Vegetable,Pâtisson Blanc,18,5,15,0.25,4,18000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Europe"",""North America""]","[""Start of summer"",""Late summer"",""Early autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,20,24,1,"pâtisson blanc
le sachet de 12 graines"
506,Vegetable,Pâtisson Orange,20,5,18,0.3,2,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Late spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,24,36,1,"pâtisson orange
le sachet de 12 graines"
507,Vegetable,Pâtisson Panaché,15-25,5-10,15-20,0.3-0.5,3-5,2400-2800,40-60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southwestern United States"",""Central Europe""]","[""Spring"",""Summer""]",30,35,20,24,"[""Organic compost"",""NPK fertilizer""]",2,12,24,1,"pâtisson panaché
le sachet de 12 graines"
508,Vegetable,Pâtisson vert pâle de Bennings,20,5,15,0.25,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,12,24,1,"pâtisson vert pâle de bennings
le sachet de 12 graines"
509,Vegetable,Carotte blanche de Küttigen,10-25,2-5,10-20,30-60,3-5,6-8,50-70,"[""Loamy"",""Sandy loam""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,30,10,48,"[""NPK"",""Compost""]",4-6,8,6,0.5,"carotte blanche de küttigen
le sachet de +/- 2000 graines"
510,Vegetable,Carotte de colmar à coeur rouge 2,15,5,18,0.3,3,24000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Colmar"",""Alsace"",""France""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,12,6,0.5,"carotte de colmar à coeur rouge 2
le sachet de +/- 2000 graines"
511,Vegetable,Carotte Nantaise 2,20,5,15,0.4,3,18000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""United States"",""Canada""]","[""Spring"",""Fall""]",30,35,10,48,"[""NPK 10-10-10"",""Compost""]",4,12,12,0.5,"carotte nantaise 2
le sachet de +/- 2000 graines"
512,Vegetable,Carotte Rodelika,15,5,12,0.3,4,3600,60,"[""Sandy loam"",""Loamy soil"",""Clay soil""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4,20,12,1,"carotte rodelika
le sachet de +/- 2200 graines"
513,Vegetable,Carotte Violette Rouge Sang,15,5,20,0.3,4,18000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Spain"",""Italy""]","[""Spring"",""Summer"",""Autumn""]",40,35,25,24,"[""NPK 10-10-10"",""Compost""]",4,18,12,0.5,"carotte violette ""rouge sang""
le sachet de +/- 2000 graines"
514,Vegetable,Carotte Jaune Obtuse du Doubs,15,2,12,0.4,3,3600,70,"[""Loamy"",""Sandy""]","[""France"",""Switzerland""]","[""Spring"",""Summer""]",30,35,20,72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,18,12,0.5,"carotte jaune obtuse du doubs
le sachet de +/- 2000 graines"
515,Vegetable,Carotte Flakkeese 2,18,5,15,0.2,3,3600,60,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Mild climate areas""]","[""Spring"",""Autumn""]",30,30,20,48,"[""Nitrogen-based"",""Potassium-based""]",4,12,12,0.5,"carotte flakkeese 2
le sachet de +/- 2000 graines"
516,Vegetable,Carotte Violette Gniff,18,5,15,0.3,4,12000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""France"",""Belgium"",""Canada""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,1,"carotte violette gniff
le sachet de +/- 2000 graines"
517,Vegetable,Carotte Blanche des Vosges,15,5,10,0.2,3,3000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Germany"",""Belgium""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""NPK 10-10-10"",""Compost"",""Bone Meal""]",4,12,12,0.5,"carotte blanche des vosges
le sachet de +/- 2000 graines"
518,Carrot,Carotte de Chantenay à Coeur Rouge 2,15,5,18,0.3,4,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""United States"",""Canada""]","[""Spring"",""Summer"",""Fall""]",40,35,20,24,"[""NPK"",""Compost""]",4,10,6,0.5,"carotte de chantenay à coeur rouge 2
le sachet de +/- 2000 graines"
519,Vegetable,Carotte géante de Tilques,15,5,12,0.3,3,3600,70,"[""Loamy"",""Sandy"",""Clay""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,6,0.5,"carotte géante de tilques
le sachet de +/- 2000 graines"
520,Vegetable,Carottes en mélange,15,5,18,0.3,3,12000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""NPK"",""Compost""]",4,12,12,0.5,"carottes en mélange
le sachet de +/- 2000 graines"
521,Vegetable,Carotte Longue Jaune de Belgique,15,5,12,0.3,4,6000,60,"[""Sandy loam"",""Loam""]","[""Belgium"",""France"",""Netherlands""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,24,"[""Nitrogen-based"",""Phosphorus-based""]",4,12,12,0.5,"carotte longue jaune de belgique
le sachet de +/- 2000 graines"
522,Vegetable,Poireau gros long d’été,15-25,5-10,10-15,0.2-0.3,3-5,6-8,60-70,"[""Loam"",""Silt"",""Clay""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Summer"",""Autumn""]",30,35,15,24-48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-3,20,12,1-2,"poireau gros long d’été
le sachet de +/- 450 graines"
523,Vegetable,Poireau Jaune du Poitou,10-25,2-5,10-20,20-40,3-5,6-8,40-70,"[""Loamy"",""Sandy"",""Clay""]","[""Poitou-Charentes"",""Western France"",""Mediterranean regions""]","[""Start of summer"",""Autumn""]",20,30,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,20,12,0.5,"poireau jaune du poitou
le sachet de +/- 450 graines"
524,Vegetable,Poireau Elbeuf Elephant,15,5,10,0.3,3,3600,70,"[""Loamy"",""Sandy"",""Clayey""]","[""Europe"",""North America""]","[""Start of spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,30,12,2,"poireau elbeuf elephant
le sachet de +/- 450 graines"
525,Maize,Maïs doux mezdi,22,5,18,0.25,3,20000,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""North America"",""South America"",""Africa""]","[""Summer"",""Rainy season""]",50,40,50,48,"[""NPK 15-15-15"",""Compost""]",4,120,12,2,"maïs doux mezdi
le sachet de +/- 70 graines"
526,Maïs doux martian purple,Le sachet de +/- 80 graines,20 °C,5 mm,18 °C,0.2 m³/m³,4 mm/day,600 seconds,60%,"[""Sandy loam"",""Loam"",""Clay""]","[""Temperate regions"",""Mild climates""]","[""Start summer"",""Late spring""]",40 km/h,35 °C,10 mm,48 hours,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4 weeks,90 in,36 in,2 in,"maïs doux martian purple
le sachet de +/- 80 graines"
527,Vegetable,Maïs doux multicolore inca rainbow,25,10,20,0.3,5,3000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,50,48,"[""NPK fertilizer"",""Compost""]",4,96,48,2,"maïs doux multicolore inca rainbow
le sachet de +/- 80 graines"
528,Corn,Maïs Doux Golden Bantam,20-30,5-10,15-20,0.2-0.3,4-6,6-8,50-70,"[""Loam"",""Sandy loam""]","[""North America"",""Europe""]","[""Spring"",""Summer""]",30-40,35-40,20-30,48-72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,72-96,12-16,2-3,"maïs doux golden bantam
le sachet de +/- 80 graines"
529,Vegetable,Fenouil doux précoce d'été,20,5,18,0.3,4,300,70,"[""Loamy soil"",""Sandy soil""]","[""Mediterranean region"",""Southwestern United States""]","[""Start summer"",""Autumn""]",40,35,20,Every 2 days,"[""Organic compost"",""Fish emulsion""]",4,24,12,0.5,"fenouil doux précoce d'été
le sachet de +/- 380 graines"
530,Vegetable,Fenouil Doux Zefa Fino,15,5,18,0.3,3,18000,60,"[""Loamy"",""Sandy"",""Clay""]","[""Mediterranean region"",""Temperate climates""]","[""Spring"",""Summer"",""Fall""]",30,35,50,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,24,0.5,"fenouil doux zefa fino
le sachet de +/- 380 graines"
531,Herb,Fenouil Doux Zefa Tardo,18,2,15,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean"",""Temperate""]","[""Late Spring"",""Summer"",""Early Fall""]",30,35,10,24,"[""Organic compost"",""Liquid seaweed fertilizer"",""Fish emulsion""]",4,36,12,0.5,"fenouil doux zefa tardo
le sachet de +/- 380 graines"
532,Herbaceous plant,Fenouil doux perfection,20,5,15,0.3,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate climate regions""]","[""Spring"",""Summer""]",30,35,30,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,36,12,0.5,"fenouil doux perfection
le sachet de +/- 380 graines"
533,Herbaceous Plant,Fenouil Doux Selma,20,5,18,0.3,3,30000,60,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,36,12,0.5,"fenouil doux selma
le sachet de +/- 380 graines"
534,Vegetable,Côte de bette verte à couper,20,5,15,0.3,3,12000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,1,"côte de bette verte à couper
le sachet de +/- 100 graines"
535,Vegetable,côte de bette à cardes rouges,20,5,18,0.3,3,3600,70,"[""loam"",""sandy loam"",""clay loam""]","[""France"",""Italy"",""Switzerland""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""compost""]",4,24,12,0.5,"côte de bette à cardes rouges
le sachet de +/- 130 graines"
536,Vegetable,Côte de bette à cardes multicolores,15-25,5-10,10-15,0.15-0.25,4-6,240-300,60-70,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Mediterranean region"",""Coastal areas"",""Moderate climates""]","[""Spring"",""Summer"",""Autumn""]",40,35,30,48,"[""Organic compost"",""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4-6,24,12,0.5,"côte de bette à cardes multicolores
le sachet de +/- 100 graines"
537,Vegetable,côte de bette à cardes jaunes bright yellow,20,5,15,0.3,4,300,60,"[""loamy soil"",""sandy soil""]","[""Mediterranean region"",""temperate regions""]","[""Spring"",""Summer"",""Autumn""]",50,35,20,2-3,"[""compost"",""organic fertilizer""]",4-6,36,12,1,"côte de bette à cardes jaunes bright yellow
le sachet de +/- 100 graines"
538,Vegetable,Côte de Bette Lucullus,20,5,15,0.3,4,18000,60,"[""Loamy soil"",""Sandy soil""]","[""Mediterranean region"",""Southwestern United States""]","[""Spring"",""Fall""]",30,35,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-based fertilizer""]",4,24,12,0.5,"côte de bette lucullus
le sachet de +/- 100 graines"
539,Vegetable,Côte de Bette Orange 'Coucher de Soleil',20,5,18,0.4,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate regions""]","[""Starts in late spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,24,12,1,"côte de bette orange ""coucher de soleil""
le sachet de +/- 70 graines"
540,Leafy Vegetable,Côte de bette verte à cardes blanches,20,5,18,0.3,3,24000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean Region"",""Temperate Climate""]","[""Start of Summer"",""Spring"",""Autumn""]",30,35,20,48,"[""NPK"",""Compost""]",4,24,12,0.5,"côte de bette verte à cardes blanches
le sachet de +/- 100 graines"
541,Vegetable,Tétragone Cornue,18,5,15,0.3,4,18000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,24,12,0.5,tétragone cornue
542,Herb,Cerfeuil tubéreux,18,5,15,0.4,3,24000,50,"[""Loam"",""Sandy loam""]","[""Mediterranean climates"",""Temperate climates""]","[""Spring"",""Autumn""]",50,32,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,"cerfeuil tubéreux
le sachet de +/- 135 graines"
543,Vegetable,Navet de Croissy,15,5,12,0.3,3,2400,70,"[""Loamy"",""Sandy""]","[""France"",""Europe"",""North America""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,12,0.5,"navet de croissy
le sachet de +/- 1000 graines"
544,Vegetable,Navet de Milan à forcer à collet rose,15,5,12,0.3,3,3600,70,"[""Loamy soil"",""Sandy soil"",""Well-drained soil""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Autumn""]",30,30,20,48,"[""NPK fertilizer"",""Compost""]",2,12,8,0.5,"navet de milan à forcer à collet rose
le sachet de +/- 1000 graines"
545,Vegetable,Navet des Vertus Marteau,18,5,15,0.3,4,3600,60,"[""Sandy loam"",""Loamy sand"",""Silt loam""]","[""Temperate regions"",""Mediterranean regions"",""Cool climates""]","[""Spring"",""Autumn""]",40,35,30,48,"[""NPK fertilizer"",""Organic compost""]",3,12,6,0.5,"navet des vertus marteau
le sachet de +/- 1000 graines"
546,Vegetable,Navet Boule d'Or,18.5,3.2,15.8,0.35,4.7,26400,65,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Fall""]",40,30,10,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,0.4,"navet boule d'or
le sachet de +/- 1040 graines"
547,Vegetable,Navet de Nancy,10-20,2-5,10-15,0.2-0.4,2-4,3000-3500,40-70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Cool temperate regions"",""Mild temperate regions""]","[""Spring"",""Fall""]",25,35,20,24-48,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",4-6,12-18,4-6,0.5-1,"navet de nancy
le sachet de +/- 1000 graines"
548,Vegetable,Navet Noir Long d'Hiver,-5,2.5,8,0.25,2,18000,60,"[""Loamy"",""Sandy""]","[""France"",""Belgium"",""Canada""]","[""Spring"",""Fall""]",40,35,20,48,"[""Nitrogen"",""Potassium""]",2,12,10,0.5,"navet noir long d'hiver
le sachet de +/- 1000 graines"
549,Vegetable,Navet Petrowski,20,5,18,0.4,3,6000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Temperate regions"",""Mild climates""]","[""Spring"",""Fall""]",30,35,30,48,"[""NPK"",""Organic compost""]",2,12,9,1,"navet petrowski
le sachet de +/- 990 graines"
550,Vegetable,"Navet hâtif ""blanc plat de mai""",15,3,12,0.2,4,3600,70,"[""Loamy soil"",""Sandy loam"",""Clay soil""]","[""Temperate regions"",""Mild Mediterranean climate""]","[""Early Spring"",""Late Summer""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",3,12,6,0.5,"navet hâtif ""blanc plat de mai""
le sachet de +/- 1000 graines"
551,Vegetable,Navet Blanc Globe à Collet Violet,18,5,15,0.3,3,18000,60,"[""Loam"",""Silt"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Fall""]",30,35,10,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,6,0.5,"navet blanc globe à collet violet
le sachet de +/- 1000 graines"
552,Vegetable,Navet Boulette de Champagne,18.5,2.5,15.2,0.25,3.8,25000,65,"[""Loamy"",""Sandy""]","[""France"",""Belgium"",""Germany""]","[""Spring"",""Autumn""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3,10,8,0.5,"navet boulette de champagne
le sachet de +/- 1000 graines"
553,Vegetable,Chou-navet wilhelmsburger jaune à collet vert,8 - 20,2 - 5,10 - 15,0.2 - 0.4,2 - 5,18000 - 22000,50 - 70,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Summer"",""Autumn""]",30,30,20,48,"[""Organic compost"",""All-purpose vegetable fertilizer""]",3 - 4,12 - 16,12 - 16,0.5 - 1,"chou-navet wilhelmsburger jaune à collet vert
le sachet de +/- 300 graines"
554,Vegetable,Chou-navet jaune,18.5,5.2,15.7,0.25,3.8,28800,65,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,12,12,0.5,"chou-navet jaune
le sachet de +/- 250 graines"
555,Leafy Vegetable,Mizuna,18,5,15,0.25,3,18000,60,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Coastal areas""]","[""Spring"",""Autumn""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,12,0.5,"mizuna
le sachet de +/- 1070 graines"
556,Vegetable,Navet-Feuille Cima de Rapa,18,5,15,0.4,3,3600,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Italy"",""Spain""]","[""Spring"",""Autumn""]",40,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,8,0.5,"navet-feuille cima de rapa
le sachet de +/- 1000 graines"
557,Fruit,Pastèque Lune Etoile,25,5,20,0.3,3,3600,60,"[""Loamy"",""Sandy""]","[""Tropical regions"",""Mediterranean regions""]","[""Summer""]",30,40,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,80,36,2,"pastèque lune etoile
le sachet de 12 graines"
558,Fruit,Pastèque Sugar Baby,25,5,20,0.4,3,6000,70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Start of summer"",""Late spring"",""Early autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,36,2,"pastèque sugar baby
le sachet de 12 graines"
559,Vegetable,Chou Cabus de Brunswick,15,5,12,0.3,3,18000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America""]","[""Spring"",""Fall""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,24,12,0.5,"chou cabus de brunswick
le sachet de +/- 250 graines"
560,Vegetable,Chou Cabus de Vaugirard,10-25,2-5,10-20,0.3-0.5,3-5,5-8,50-70,"[""Loam"",""Silt"",""Clay""]","[""Mild Temperate Regions"",""Cool Temperate Regions""]","[""Spring"",""Fall""]",20-30,30-35,10-20,48-72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,10-20,12-18,0.5-1,"chou cabus de vaugirard
le sachet de +/- 250 graines"
561,Vegetable,Chou Cabus Pointu Blanc Filderkraut,10-20,2-5,10-15,0.3-0.5,2-4,6-8,40-70,"[""Loam"",""Silt"",""Clay""]","[""Europe"",""North America""]","[""Spring"",""Fall""]",20,30,10,48,"[""Organic compost"",""NPK fertilizer""]",4-6,12-18,12x12,0.5-1,"chou cabus pointu blanc filderkraut
le sachet de +/- 250 graines"
562,Vegetable,chou cabus coeur de bœuf des vertus,15,5,12,0.3,3,3600,70,"[""loam"",""silt"",""clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",20,30,15,48,"[""NPK"",""compost""]",4,24,12,0.5,"chou cabus coeur de bœuf des vertus
le sachet de +/- 250 graines"
563,Cabbage,Chou cabus blanc holsteiner platter,15,5,12,0.3,3,6000,70,"[""loam"",""silt"",""clay""]","[""abc"",""bca"",""xyz""]","[""Start summer"",""abc"",""xyz""]",50,35,30,48,"[""abx"",""afn""]",2,24,36,0.5,"chou cabus blanc holsteiner platter
le sachet de +/- 250 graines"
